"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5155296043.03276","5106761670.7147","5023324584.76141","5158169673.07072","5434210961.21489","5791097245.0662","6146201271.72786","6381120871.33102","6757293537.74064","7344574321.45266","7820317117.55611","8201690664.67765","8556750414.29692","8605428686.13538","8915122572.87874","9504952548.06046","10039056626.1967","10457854116.3876","10413508689.9278","10054790337.4587","10328477564.1864","10608854836.1335","11146059010.6458","11295113525.0607","11491773078.3789","11736027884.8728","11663909983.0464","12056433992.8967","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3751129099.91725","4626379030.02918","8901964625.09258","12169606680.0259","14226403824.174","15817258391.7077","17060245929.4643","17842878263.3018","19310167688.6884","20214692237.1103","23340339277.179","24398065391.9858","27888038434.1519","30811911213.4218","33896807462.0589","33737254855.2883","34637208990.7248","36525637926.8929","37145690831.4945","39027401491.461","39811454001.4135","41200284473.431","43425610368.236","46033486453.8125","47691700461.9869",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55319352228.9063","56503838684.2403","52243523689.2409","49416737946.8442","44566749717.5678","40769110154.3892","42678044012.4957","48363176502.134","53015740909.6704","55609743794.8331","60150354695.1242","64374339605.6577","68691820127.9537","74895437858.4786","85717983364.5237","96696527087.6614","109585032908.358","122206275992.871","137290849971.46","138614155233.501","151164816889.993","162623060502.26","168538216172.836","173216831420.382","179540869626.233","174511606528.894","171962780146.17","179668590896.992","189323967129.94",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622635380.341108","717484402.754486","822331671.678204","894644730.550701","915195826.565245","940405611.527062","971301622.973157","1023073808.12497","1073289019.80506","1184369651.6554","1368492955.16426","1468653273.84501","1568266628.25615","1746394672.07495","1876770644.96302","1985121393.29225","2138897901.40833","2220637256.09676","2336927430.56989","2370538647.32452","2479302472.99721","2585830299.71412","2712846398.98127","2783971836.01684","2941380900.19962","3074860513.05742","3090206268.18045","3194203641.92374","3365851350.07699",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1561225623.61177","1556976717.76224","1591507501.03552","1678230799.60861","1724345156.78767","1837948840.88217","1920272819.34536","2043241580.58433","2146821990.64841","2251485808.44597","2516281086.92374","2757196886.07072","2759419117.5995","2906527654.46629","3054062184.91734","3201918499.89201","3481696993.16826","3676972060.77689","3805767023.39712","3632143704.09511","3597519761.83717","3550019929.12843","3443185262.14179","3415629198.21474","","","","","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16494243220.5279","17950088504.1603","18661437491.9771","19919167153.9459","21294050432.8563","22757632966.0554","24185044376.7075","25820927971.632","27424789530.833","27939513459.6906","29280426643.6227","30426509155.8813","31676017446.8454","33139065567.5349","35451463293.4715","38172044836.8237","41213738856.9449","44252540610.0984","47887101477.4897","49871994702.9756","52535187415.1077","56423688731.6456","60451415414.0209","65692669036.4056","70590561008.7084","74810796245.3923","78853625516.9932","83723411343.1999","89227541281.109",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","999955594632.632","1049401628213.71","1068305073162.27","1144635259044.02","1231442603726.43","1312793845189.59","1366342535887.29","1437088711906.86","1458176892196.64","1486151973358.7","1586043906219.53","1643360489121.71","1720327662105.62","1772266254872.08","1924809592995.91","2048321126593.51","2193917661561.93","2389597634116.58","2560177054159.73","2576448998283.4","2802692113712.31","2974955344832.28","3090260753911.66","3238978641823.97","3316888429290.3","3233490641159.31","3160799350556.39","3255144799735.36","3365757423619.22",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2391403609.68511","2375532617.09978","2259963062.51122","2341775295.93151","2482303650.58421","2585629964.43027","2737404616.66043","2916602739.70462","3059751879.05779","3114043449.40217","3325427238.93841","3317576226.52494","3397062704.52713","3534925302.46796","3681164942.9173","3946723145.00182","4296652986.91778","4489914586.30292","4582888827.37052","4434363566.06671","4497943022.2694","4622083018.24387","4723971973.45441","4807308437.3824","4899143408.18361","4996301718.26118","5152318373.12298","5302755008.27126","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14219219968.9045","15162535120.128","16246039709.038","16681607297.5668","17573730027.6332","18745801084.9503","19638485783.2311","19683232219.0724","19793601111.4384","20692236086.5396","21757595387.5637","22844964797.462","24104889135.1664","25265534701.315","26076585574.7821","26993052436.2145","29032919656.191","29858910044.9151","29849261766.5905","29546101473.2871","30667228516.6226","32480415591.3426","33405522009.5974","33269086248.6445","33101972264.663","33266312257.8798","32800933005.4851","33868533039.3704","34650499690.4382",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810706506.52605","834704118.042791","893005278.478622","932321706.316556","999380024.361953","1092515055.59064","1174432967.86008","1258885216.20329","1348343046.02506","1477016074.1735","1614725440.8705","1785517257.50198","2008337181.09161","2202418131.03186","2395071664.68085","2645580966.92156","2912330832.55195","3526647456.32491","3766679431.37543","4048062631.4099","4575638487.44839","5039821055.27253","5396984432.30358","5609356380.21327","6043859606.24938","6514371599.29888","7113912041.37709","7584701339.09837","7933416431.85029",
